iter	RMSE
0	2.370543184
1	2.151915677
2	1.959183654
3	1.785732756
4	1.630158694
5	1.48612018
6	1.346083697
7	1.218506441
8	1.107409011
9	1.003923331
10	0.9110002873
11	0.8316242392
12	0.754339965
13	0.6845070513
14	0.6240253275
15	0.5664638173
16	0.5151130937
17	0.4674705773
18	0.4252826571
19	0.3876071629
20	0.3535188314
21	0.3236986681
22	0.295129675
23	0.2701162536
24	0.2464796128
25	0.2268192506
26	0.2078317634
27	0.1921288166
28	0.1767557606
29	0.162057385
30	0.1488887861
31	0.1370947961
32	0.1266017602
33	0.1167087659
34	0.1083878786
35	0.10045921
36	0.09311883074
37	0.08681238817
38	0.08130595463
39	0.07600867745
40	0.07148481651
41	0.06726447697
42	0.06384157889
43	0.06033539162
44	0.05731271893
45	0.0545923064
46	0.05194426312
47	0.0497213329
48	0.04779368675
49	0.04585102513
50	0.04413106624
51	0.04258056541
52	0.04195337936
53	0.04058490238
54	0.03936946205
55	0.03900033549
56	0.03783970126
57	0.03681805056
58	0.03628949156
59	0.03584645433
60	0.0349917263
61	0.03422560632
62	0.03398090641
63	0.03291310864
64	0.03248194461
65	0.03166802559
66	0.03127081262
67	0.03054986985
68	0.02977418313
69	0.02917431463
70	0.02901218757
71	0.02883947585
72	0.02848357287
73	0.02825046496
74	0.02791061199
75	0.02778984897
76	0.02693843526
77	0.02645748932
78	0.02635459652
79	0.02579858723
80	0.0251950327
81	0.02491516861
82	0.02474160981
83	0.02465924813
84	0.02448063924
85	0.02388665217
86	0.02350704405
87	0.02312921737
88	0.02268073916
89	0.02254111733
90	0.02218811765
91	0.02164676947
92	0.02130985096
93	0.02125704975
94	0.02082066262
95	0.0203125872
96	0.02024862931
97	0.01976758952
98	0.01971716223
99	0.01962545586
